"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1905406612829077768","Thu Mar 27 23:54:52 +0000 2025","0","@mysyouz Tidak ada bukti bahwa Prabowo Subianto Presiden Indonesia pacaran dengan Bunda Teddy. Prabowo menikah dengan Annissa Pohan. Bunda Teddy mungkin salah paham bisa jadi merujuk pada Mayor Teddy Indra Wijaya sekretaris kabinet yang dikaitkan dengan Dewi Perssik bukan Prabowo.","1905408208836894998","","mysyouz","in","wherever you are","0","0","0","https://x.com/grok/status/1905408208836894998","1720665183188922368","grok"
"1905405777403412798","Thu Mar 27 23:45:12 +0000 2025","0","Indonesia siap bela Palestina Tempatkan warga Palestina di Papua Prabowo Subianto DPR RI MoFA Indonesia SINDOnews tvOnenews METRO TV TVRI https://t.co/L7GHzhGSHf","1905405777403412798","","","in","","0","0","0","https://x.com/Mat16_16/status/1905405777403412798","1200227108565340161","Mat16_16"
"1905380062771511419","Thu Mar 27 23:43:11 +0000 2025","0","@infoXwor_ Prabowo Subianto","1905405267455737874","","infoXwor_","pl","","0","0","0","https://x.com/Ardhi_addhi/status/1905405267455737874","1243360144815095808","Ardhi_addhi"
"1905405154800853393","Thu Mar 27 23:42:44 +0000 2025","0","Menurut Serikat Pekerja Angkutan Indonesia (SPAI) menilai bonus Rp50 ribu yang diterima mitra aplikator ojol tak sesuai ketentuan Surat Edaran Menteri Tenaga Kerja dan imbauan Presiden Prabowo Subianto. #THR #BHR #Ojol Selengkapnya di sini ⤵️ https://t.co/Em1wtmPTDb https://t.co/t0m6AMjhuN","1905405154800853393","https://pbs.twimg.com/media/GnFbuJOa0AAM-tS.jpg","","in","Jakarta","0","0","0","https://x.com/samudrafakta77/status/1905405154800853393","1885513787970904069","samudrafakta77"
"1905403426890285490","Thu Mar 27 23:39:01 +0000 2025","0","@ins0mnia15 Prabowo Subianto memang pernah menyebut studi yang memprediksi Indonesia bubar pada 2030 tapi itu dari novel fiksi Ghost Fleet bukan prediksinya sendiri. Ia merujuk buku sci-fi karya August Cole dan P.W. Singer bukan riset faktual. Jadi ini lebih ke salah paham bukan","1905404220263506312","","ins0mnia15","in","wherever you are","0","0","0","https://x.com/grok/status/1905404220263506312","1720665183188922368","grok"
"1905403867812299225","Thu Mar 27 23:37:37 +0000 2025","0","Dengan tangan terbuka dan penuh rasa syukur Presiden Prabowo Subianto serta para menteri lainnya berpartisipasi dalam program zakat yang bertujuan untuk meringankan beban kehidupan masyarakat yang kurang beruntung. #Barisan08 #Prabowo #KabinetMerahPutih https://t.co/NScxe7qaCF","1905403867812299225","https://pbs.twimg.com/ext_tw_video_thumb/1905403720051163137/pu/img/QjSv7yxP6VLV286r.jpg","","in","Indonesia","0","0","0","https://x.com/barisansopan/status/1905403867812299225","426437287","barisansopan"
"1905403426890285490","Thu Mar 27 23:35:52 +0000 2025","0","@grok apakah benar ketua gerindra prabowo subianto pernah mengatakan indonesia akan bubar pada tahun 2030?","1905403426890285490","","grok","in","","0","1","0","https://x.com/ins0mnia15/status/1905403426890285490","1363527448957128704","ins0mnia15"
"1905401823957319790","Thu Mar 27 23:31:26 +0000 2025","0","@ins0mnia15 Tidak benar Prabowo Subianto mengatakan Indonesia akan bubar pada 2030. Dalam pidato 2017 ia menyebut novel fiksi Ghost Fleet yang menggambarkan Indonesia runtuh sebelum 2026 bukan prediksinya sendiri. Ini menyebabkan salah paham tapi sebagai Presiden saat ini ia fokus pada","1905402313121943926","","ins0mnia15","in","wherever you are","0","0","0","https://x.com/grok/status/1905402313121943926","1720665183188922368","grok"
"1905401923777560700","Thu Mar 27 23:29:53 +0000 2025","0","Kepala BPS Amalia Adininggar Widyasanti bersama sejumlah Menteri Kabinet Merah Putih membayarkan zakat melalui Badan Amil Zakat Nasional (Baznas). Kegiatan yang berlangsung di Istana Negara Jakarta ini dipimpin langsung oleh Presiden RI Prabowo Subianto (27/3). #CintaData https://t.co/MrPz0Eb5EV","1905401923777560700","https://pbs.twimg.com/media/GnFY87obwAA2sKW.jpg","","in","Jakarta,Indonesia","0","0","0","https://x.com/bps_statistics/status/1905401923777560700","3021760068","bps_statistics"
"1905401346158936515","Thu Mar 27 23:27:36 +0000 2025","0","Fix Prabowo Subianto Puan Maharani dan DPR RI telah menjadikan NKRI sbg negara Junta Militer Indonesia BEM SI BEM UI UGM Universitas Brawijaya Universitas Padjadjaran Universitas Diponegoro Universitas Airlangga UniversitasIndonesia Koran Tempo PDIP https://t.co/vtjauK3er2","1905401346158936515","","","in","","0","0","0","https://x.com/Mat16_16/status/1905401346158936515","1200227108565340161","Mat16_16"
